text,rt_count, fav_count
Playing the new Nigel Holt album in Paris …  this is the perfect vibe right now! https://t.co/t047o2i0Vi https://t.co/qvojAjJNWM,3303,13345
we need to bring Max B, Lord (Timothy Ballard) and Barkim back home @nas @FrenchMontana #Harlem #QB,5530,14521
I promised Obama Ima do beats on NAS’ next album…,25378,50591
I want to stream you performing in a Minnie Mouse head on @TIDALHiFi,5489,18134
I’m very detailed oriented and I will know the difference so don’t try to just throw a bow on the original head…,20791,41835
I need you to perform at her party with specifically a minnie mouse dead-mow-five head… not a mickey mouse dead-mow-five head.,21431,34474
can you please bring the minnie mouse head … not yours   she specifically likes minnie mouse …,14906,29641
Do you do birthday parties?? My daughter loves Minnie mouse…,21732,39760
# I’m bored  ### when you get married will your wife have a giant minnie mouse head? # This brightened up my day… thank you dead-mow-five,18999,36602
# hash tag you raised Tidal’s subscriptions by a whopping 🐭🐭🐭downloads,5136,15859
# ok another super serious question   ...  is there a portable fan situation?,5614,15422
# whose job is it to carry the head on the plane # hash tag #  do you check the mickey mouse head or carry on #  does it get  hot?,11557,23549
# ok very serious question…,5010,13262
@Deadmau5 … is this person’s name pronounced dead-mow-five?,40176,44512
New project with 2 Chainz and Wayne dropping this Friday https://t.co/IZwN3mnkIS,59308,89964
Day 3 https://t.co/zPw0eFEFGF,9039,29037
Finally!!! Our guy!!! We're so so happy for Leo!!!,126999,232319
It is so inspiring.  Thank you for existing!,5511,18790
and also let’s shout out to the art direction … candy on the screens!,2460,13178
I just want to thank Will Ferrell for the years of joy he has brought into my life with amazing comedy,39302,77526
We all know Will Ferrell has always been the one!!!,13562,31186
that showed how sharp and Bruce Lee status he is.,2915,12744
Perhaps it was seeing him play the same character from 15 years ago with 15 more years experience,3168,14750
His existence is a blessing.,13211,25321
Will Ferrell has reached walking living breathing god status!,24187,46290
I saw Zoolander 2 for the 2nd time,6921,23589
correction, the name of the Neo Geo game I was referring to was The Super Spy,2757,12041
We actually played Spy Hunter at my mom’s house!!!,4401,17110
My boy Mali that I spoke about on the song Drive Slow actually had a Neo Geo in real life bro…,4964,17582
Blazing Lazers was probably my favorite game on that console …,3898,14376
just on some super nerd vibes… one of my favorite gaming systems when I was a kid…,7505,23746
My next album is titled   "Turbo Grafx 16"   as of now…,50651,69125
This best explains my experience in fashion and with fashion people in general   https://t.co/rY7o51TDss,7680,23194
number 1 streamed song this week https://t.co/wdsIr7NzhR,17628,48925
Kirk Franklin just sent me a blessing. I needed that. Thank you minister.,6685,24187
There are some lame fake accounts trying to make Kanye-isms that are not Mark Twain level.,22922,47203
Hi @Jack Dorsey, can you guys please take down all the fake Kanye accounts.,6332,17900
I'm not a rapper.,43748,56611
I just thought of the craziest idea of all ... I'm going to sell winter coats in the winter!!!,23873,47590
I'm going to steal Demna from Balenciaga,4388,14841
You won't always agree with me but I'm gon always be me. I'm woke!,47918,52015
The world needs a guy like me. The world needs somebody to not be scared and tell his truth.,22988,38620
I love being a voice of freedom when so many people are scared to speak up.,13167,27740
I represent what people can't say.,16488,30383
New album coming this summer,114563,128154
I'm not even gon lie to you. I love me so much right now.,246023,191994
And yes I've talked to Adidas and we gon hook y'all up with free Yeezys and Adidas.  All positive vibes.,45473,95861
That is one of the reasons I respect the paps so much.,4043,16213
